uniprot_id,target_class,model,feature_set,AUROC
Q9UBN7,Epigenetic,XGBoost,morgan,0.9701
Q9Y233,Phosphodiesterase,RandomForest,morgan,
Q9Y233,Phosphodiesterase,XGBoost,morgan,
Q9Y233,Phosphodiesterase,RandomForest,desc,
Q9Y233,Phosphodiesterase,XGBoost,desc,
Q9Y233,Phosphodiesterase,RandomForest,combined,
Q9Y233,Phosphodiesterase,XGBoost,combined,
P35372,GPCR,RandomForest,morgan,0.9954
P35372,GPCR,XGBoost,morgan,0.9902
P35372,GPCR,RandomForest,desc,0.9942
P35372,GPCR,XGBoost,desc,0.9975
P35372,GPCR,RandomForest,combined,0.9966
P35372,GPCR,XGBoost,combined,0.9973
P00915,Lyase,RandomForest,morgan,0.9041
P00915,Lyase,XGBoost,morgan,0.8874
P49841,Kinase,RandomForest,morgan,0.9784
P49841,Kinase,XGBoost,morgan,0.9773
P49841,Kinase,RandomForest,desc,0.9636
P49841,Kinase,XGBoost,desc,0.9746
P49841,Kinase,RandomForest,combined,0.9746
P49841,Kinase,XGBoost,combined,0.9753
O43613,GPCR,RandomForest,morgan,
O43613,GPCR,XGBoost,morgan,
O43613,GPCR,RandomForest,desc,
O43613,GPCR,XGBoost,desc,
O43613,GPCR,RandomForest,combined,
O43613,GPCR,XGBoost,combined,
P01116,Nucleotide Binding,RandomForest,morgan,
P01116,Nucleotide Binding,XGBoost,morgan,
P01116,Nucleotide Binding,RandomForest,desc,
P01116,Nucleotide Binding,XGBoost,desc,
P01116,Nucleotide Binding,RandomForest,combined,
P01116,Nucleotide Binding,XGBoost,combined,
Q16790,Lyase,RandomForest,morgan,0.9454
Q16790,Lyase,XGBoost,morgan,0.848
P15056,Kinase,RandomForest,morgan,0.997
P15056,Kinase,XGBoost,morgan,0.994
P15056,Kinase,RandomForest,desc,0.9726
P15056,Kinase,XGBoost,desc,0.9927
P15056,Kinase,RandomForest,combined,0.9899
P15056,Kinase,XGBoost,combined,0.9925
O60341,Epigenetic,RandomForest,morgan,0.9929
O60341,Epigenetic,XGBoost,morgan,0.9873
O60341,Epigenetic,RandomForest,desc,0.9925
O60341,Epigenetic,XGBoost,desc,0.991
O60341,Epigenetic,RandomForest,combined,0.9945
O60341,Epigenetic,XGBoost,combined,0.9921
P41145,GPCR,RandomForest,morgan,
P41145,GPCR,XGBoost,morgan,
P41145,GPCR,RandomForest,desc,
P41145,GPCR,XGBoost,desc,
P41145,GPCR,RandomForest,combined,
P41145,GPCR,XGBoost,combined,
P30542,GPCR,RandomForest,morgan,0.991
P30542,GPCR,XGBoost,morgan,0.9922
P30542,GPCR,RandomForest,desc,0.9194
P30542,GPCR,XGBoost,desc,0.955
P30542,GPCR,RandomForest,combined,0.98
P30542,GPCR,XGBoost,combined,0.9718
P00742,Protease,RandomForest,morgan,0.9933
P00742,Protease,XGBoost,morgan,0.9952
P00742,Protease,RandomForest,desc,0.995
P00742,Protease,XGBoost,desc,0.9987
P00742,Protease,RandomForest,combined,0.9971
P00742,Protease,XGBoost,combined,0.9981
P48736,Kinase,RandomForest,morgan,0.9969
P48736,Kinase,XGBoost,morgan,0.9977
P48736,Kinase,RandomForest,desc,0.9935
P48736,Kinase,XGBoost,desc,0.9908
P48736,Kinase,RandomForest,combined,0.9974
P48736,Kinase,XGBoost,combined,0.993
O75116,Kinase,RandomForest,morgan,
O75116,Kinase,XGBoost,morgan,
O75116,Kinase,RandomForest,desc,
O75116,Kinase,XGBoost,desc,
O75116,Kinase,RandomForest,combined,
O75116,Kinase,XGBoost,combined,
P0DMS8,GPCR,RandomForest,morgan,0.9796
P0DMS8,GPCR,XGBoost,morgan,0.9537
P11802,Kinase,RandomForest,morgan,0.7271
P11802,Kinase,XGBoost,morgan,0.4893
P11802,Kinase,RandomForest,desc,0.6843
P11802,Kinase,XGBoost,desc,0.7416
P11802,Kinase,RandomForest,combined,0.6801
P11802,Kinase,XGBoost,combined,0.7158
P31645,GPCR,RandomForest,morgan,0.9235
P31645,GPCR,XGBoost,morgan,0.9062
P31645,GPCR,RandomForest,desc,0.9553
P31645,GPCR,XGBoost,desc,0.9231
P31645,GPCR,RandomForest,combined,0.895
P31645,GPCR,XGBoost,combined,0.9104
P29275,GPCR,RandomForest,morgan,
P29275,GPCR,XGBoost,morgan,
P29275,GPCR,RandomForest,desc,
P29275,GPCR,XGBoost,desc,
P29275,GPCR,RandomForest,combined,
P29275,GPCR,XGBoost,combined,
P43490,Transferase,RandomForest,morgan,
P43490,Transferase,XGBoost,morgan,
P43490,Transferase,RandomForest,desc,
P43490,Transferase,XGBoost,desc,
P43490,Transferase,RandomForest,combined,
P43490,Transferase,XGBoost,combined,
P27487,Protease,RandomForest,morgan,0.9881
P27487,Protease,XGBoost,morgan,0.978
P27487,Protease,RandomForest,desc,0.9788
P27487,Protease,XGBoost,desc,0.9836
P27487,Protease,RandomForest,combined,0.9848
P27487,Protease,XGBoost,combined,0.9837
P08581,GPCR,RandomForest,morgan,0.8187
P08581,GPCR,XGBoost,morgan,0.8523
P08581,GPCR,RandomForest,desc,0.2665
P08581,GPCR,XGBoost,desc,0.5102
P08581,GPCR,RandomForest,combined,0.904
P08581,GPCR,XGBoost,combined,0.7707
P42345,Kinase,RandomForest,morgan,0.9769
P42345,Kinase,XGBoost,morgan,0.9954
P42345,Kinase,RandomForest,desc,0.9769
P42345,Kinase,XGBoost,desc,0.9971
P42345,Kinase,RandomForest,combined,0.9844
P42345,Kinase,XGBoost,combined,0.9975
Q16539,Kinase,RandomForest,morgan,0.999
Q16539,Kinase,XGBoost,morgan,0.9962
O43570,Lyase,RandomForest,morgan,0.7608
O43570,Lyase,XGBoost,morgan,0.7727
P21554,GPCR,RandomForest,morgan,0.9918
P21554,GPCR,XGBoost,morgan,0.9948
P21554,GPCR,RandomForest,desc,0.9929
P21554,GPCR,XGBoost,desc,0.9915
P21554,GPCR,RandomForest,combined,0.9929
P21554,GPCR,XGBoost,combined,0.991
Q9Y5N1,GPCR,RandomForest,morgan,1.0
Q9Y5N1,GPCR,XGBoost,morgan,1.0
Q9Y5N1,GPCR,RandomForest,desc,1.0
Q9Y5N1,GPCR,XGBoost,desc,1.0
Q9Y5N1,GPCR,RandomForest,combined,1.0
